Title,HH & NPISH (S.14 + S.15): Households' & NPISH saving ratio (per cent): Current price: £m: SA,"Unemployment rate (aged 16 and over, seasonally adjusted): %",CPI INDEX 00: ALL ITEMS 2015=100,HH & NPISH (S.14 + S.15): Currency and deposits (AF.2): Asset: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Total financial assets (AF.A): Asset: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Total financial liabilities (AF.L): Liability: Current price: £m: NSA,UK resident population: mid-year estimates (Qtly data interpolated),HH & NPISH (S.14 + S.15): Loans secured on dwellings (AF.422): Liability: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Net financial assets (BF.90): Current price: £m: NSA,HH & NPISH (S.14 + S.15): Real Households' & NPISH disposable income at chained volume measures (reference year 2022)(1):CP:£m:SA,RSI:Volume Seasonally Adjusted:All Retailers inc fuel:All Business Index,"CG: Current receipts: Taxes on production: VAT, receivable: £m CPNSA",AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears,IOP: B-E: PRODUCTION: CVMSA,Gross Value Added - Monthly (Index 1dp) :CVM SA,Wholesale & retail trade; Repair of motor vehicles/cycles (Index 1dp) :CVM SA,IoS: Services: Period on Period Growth
CDID,NRJS,MGSX,D7BT,NNMP,NNML,NNPP,EBAQ,NNRP,NZEA,NRJR,J5EK,NZGF,KAB9,K222,ECY2,ECYD,S222
Source dataset ID,UKEA,LMS,MM23,UKEA,UKEA,UKEA,QNA,UKEA,UKEA,UKEA,DRSI,PUSF,EMP,DIOP,MGDP,MGDP,IOS1
PreUnit,,,,,,,,,,£,,£,£,,,,
Unit,,%,"Index, base year = 100",,,,",000",,,m,"Index, base year = 100",m,,"Index, base year = 100",,,
Release date,23/12/2024,21/01/2025,15/01/2025,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,17/01/2025,22/01/2025,21/01/2025,16/01/2025,16/01/2025,16/01/2025,16/01/2025
Next release,28-Mar-25,18-Feb-25,19-Feb-25,28-Mar-25,28-Mar-25,28-Mar-25,13-Feb-25,28-Mar-25,28-Mar-25,28-Mar-25,21-Feb-25,21-Feb-25,18-Feb-25,13-Feb-25,13-Feb-25,13-Feb-25,13-Feb-25
Important notes,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,257375,,,,28.5,,,
1949,,,,,,,,,,263889,,,,30.4,,,
1950,,,,,,,,,,272240,,,,32.5,,,
1951,,,,,,,,,,269038,,,,33.5,,,
1952,,,,,,,,,,274735,,,,32.3,,,
1953,,,,,,,,,,288210,,,,34.3,,,
1954,,,,,,,,,,297920,,,,36.1,,,
1955,,,,,,,50946,,,311681,,,,38,,,
1956,,,,,,,51184,,,319139,,,,38.1,,,
1957,,,,,,,51430,,,324361,,,,39,,,
1958,,,,,,,51653,,,330733,,,,38.6,,,
1959,,,,,,,51956,,,348125,,,,40.5,,,
1960,,,,,,,52373,,,371272,,,,43.4,,,
1961,,,,,,,52807,,,386712,,,,43.5,,,
1962,,,,,,,53292,,,391440,,,,43.9,,,
1963,5.6,,,,,,53625,,,406838,,,,45.4,,,
1964,6.7,,,,,,53991,,,424733,,,,49.1,,,
1965,7.1,,,,,,54350,,,433209,,,,50.5,,,
1966,7.3,,,,,,54643,,,442600,,,,51.3,,,
1967,6.7,,,,,,54959,,,448831,,,,51.7,,,
1968,5.9,,,,,,55214,,,456510,,,,55.5,,,
1969,6.1,,,,,,55461,,,460879,,,,57.3,,,
1970,6.9,,,,,,55632,,,478090,,,,57.6,,,
1971,5.5,4.1,,,,,55928,,,485171,,,,57.3,,,
1972,7.8,4.3,,,,,56097,,,527022,,,,58.3,,,
1973,8.6,3.7,,,,,56223,,,560418,,,,63.6,,,
1974,8.9,3.7,,,,,56236,,,555668,,,,62.3,,,
1975,9.7,4.5,,,,,56226,,,560371,,,,58.9,,,
1976,9.6,5.4,,,,,56216,,,559606,,,,60.9,,,
1977,8.6,5.6,,,,,56190,,,549407,,,,64,,,
1978,10.5,5.5,,,,,56178,,,589523,,,,65.8,,,
1979,12,5.4,,,,,56240,,,624803,,,,68.4,,,
1980,13.6,6.8,,,,,56330,,,635239,,,,63.9,,,
1981,13.9,9.6,,,,,56358,,,634794,,,,61.9,,,
1982,13.2,10.7,,,,,56291,,,637451,,,,63.1,,,
1983,11.7,11.5,,,,,56316,,,651689,,,,65.4,,,
1984,13.1,11.8,,,,,56409,,,675496,,,,65.4,,,
1985,12.7,11.4,,,,,56554,,,703942,,,,69,,,
1986,11.8,11.3,,,,,56684,,,732897,,,,70.7,,,
1987,9.5,10.4,,249112,957010,284919,56804,182811,672091,742332,,,,73.5,,,
1988,7.8,8.6,49.6,287756,1049025,337587,56916,222789,711438,782563,,,,77.1,,,
1989,9.1,7.2,52.2,327123,1204989,384317,57077,256672,820672,823265,,,,78.7,,,
1990,10.7,7.1,55.9,360141,1296100,433944,57238,293409,862156,855546,,,,78.4,,,
1991,13,8.9,60.1,384690,1458909,467880,57439,319657,991029,873023,,,,75.8,,,
1992,14.4,9.9,62.6,408308,1658764,489344,57585,338205,1169420,896571,,,,76.1,,,
1993,14.1,10.4,64.2,422088,1985318,510524,57714,356490,1474794,920167,,,,77.7,,,
1994,12.2,9.5,65.5,436539,1867905,529489,57862,375056,1338416,937142,,,,81.9,,,
1995,13.4,8.6,67.2,468451,2152364,557935,58025,389694,1594429,965162,,,,83.4,,,
1996,12.3,8.1,68.8,495109,2310320,580321,58164,408309,1729999,990906,58.7,,,84.5,,,
1997,9.7,6.9,70.1,537423,2493547,616957,58314,424513,1876590,1009165,60.9,53818,,87.3,,,
1998,6.8,6.2,71.2,568675,2920125,670288,58475,453835,2249837,1018309,62,57069,,90.8,,,3
1999,5.7,6,72.1,600315,3133823,728055,58684,490570,2405768,1062583,63.4,62182,,95.1,,,2.5
2000,7.7,5.4,72.7,636736,3277036,792532,58886,534862,2484504,1122465,65.8,64918,313,97.4,,,5.2
2001,7.7,5.1,73.6,683556,3229904,877466,59113,589382,2352438,1162075,71.6,67908,329,101.4,,,2.4
2002,7.6,5.2,74.5,730967,3237366,994204,59366,666474,2243162,1190985,75.7,72048,339,103,,,1.5
2003,6.5,5,75.5,792145,3438647,1130983,59637,768113,2307664,1217154,77.4,78391,350,105.8,,,3.7
2004,7,4.8,76.5,859025,3663951,1265117,59950,869637,2398834,1251692,80.9,82666,365,105.8,,,3.2
2005,6.8,4.8,78.1,921215,4011704,1365700,60413,954696,2646004,1282741,80.7,84630,382,104.8,,,4.1
2006,7.4,5.4,79.9,996525,4190307,1531237,60827,1066685,2659070,1305289,82.7,89014,400,109.1,,,2.4
2007,8.8,5.3,81.8,1074216,4385977,1633618,61319,1168799,2752359,1356037,84.9,93348,420,107.4,,,4
2008,8.2,5.7,84.7,1142917,4258215,1674508,61824,1209492,2583707,1349254,83.9,93419,434,104.9,,,0.7
2009,11,7.6,86.6,1153517,4601606,1667901,62261,1215822,2933705,1370568,84,81262,434,97.6,,,-3.2
2010,11.9,7.9,89.4,1185350,4814595,1663152,62760,1221555,3151443,1383741,82.9,97565,444,94.9,,,3.1
2011,9.5,8.1,93.4,1218831,5179596,1675709,63285,1227874,3503887,1351989,82.3,113461,455,90.3,,,1.9
2012,8.9,7.9,96.1,1274475,5360160,1694928,63711,1253593,3665232,1385185,82.6,116459,461,90.8,,,2.3
2013,8.4,7.6,98.5,1321731,5434041,1726456,64139,1273132,3707585,1411202,83.4,121650,466,92.6,,,1.5
2014,7.5,6.2,100,1375592,6029698,1781708,64620,1295120,4247990,1443046,86.3,127647,471,94.6,,,3.1
2015,9.8,5.4,100,1454551,6125909,1828052,65088,1321163,4297857,1530519,90,132790,482,99.1,,,1.4
2016,6.4,4.9,100.7,1552003,6681231,1896463,65607,1361571,4784768,1541145,94.2,137215,494,99.2,,,2.8
2017,5.3,4.4,103.4,1614272,6901023,1952450,65966,1397217,4948573,1554849,95.7,143636,505,99.6,,,3
2018,5.3,4.1,105.9,1659275,6668941,1995972,66289,1425835,4672969,1585687,97.8,149454,520,102.8,,,1.3
2019,5.5,3.8,107.8,1723387,7112659,2033414,66631,1452554,5079245,1618241,100.9,155148,538,104.6,,,1.7
2020,16.8,4.6,108.7,1914009,7563144,2091865,66744,1499760,5471279,1612140,99.5,139872,547,107.5,,,-11.8
2021,12.8,4.6,111.6,2037011,7670408,2122641,66984,1562356,5547767,1637886,104.2,158121,579,106.8,,,10
2022,6.1,3.8,121.7,2110140,6588308,2206199,67604,1619611,4382109,1609218,100,183614,615,100,,,5.9
2023,7.3,4.1,130.5,2140418,6598560,2248650,68265,1619940,4349910,1643543,97.1,195584,658,99.1,,,0.4
2024,,,133.9,,,,,,,,97.8,200062,,,,,
1946 Q1,,,,,,,,,,,,,,,,,
1946 Q2,,,,,,,,,,,,,,,,,
1946 Q3,,,,,,,,,,,,,,,,,
1946 Q4,,,,,,,,,,,,,,,,,
1947 Q1,,,,,,,,,,,,,,,,,
1947 Q2,,,,,,,,,,,,,,,,,
1947 Q3,,,,,,,,,,,,,,,,,
1947 Q4,,,,,,,,,,,,,,,,,
1948 Q1,,,,,,,,,,,,,,28,,,
1948 Q2,,,,,,,,,,,,,,28.1,,,
1948 Q3,,,,,,,,,,,,,,28.8,,,
1948 Q4,,,,,,,,,,,,,,29.1,,,
1949 Q1,,,,,,,,,,,,,,29.6,,,
1949 Q2,,,,,,,,,,,,,,30.2,,,
1949 Q3,,,,,,,,,,,,,,30.8,,,
1949 Q4,,,,,,,,,,,,,,30.9,,,
1950 Q1,,,,,,,,,,,,,,31.4,,,
1950 Q2,,,,,,,,,,,,,,32.4,,,
1950 Q3,,,,,,,,,,,,,,33.2,,,
1950 Q4,,,,,,,,,,,,,,33.1,,,
1951 Q1,,,,,,,,,,,,,,33.2,,,
1951 Q2,,,,,,,,,,,,,,33.2,,,
1951 Q3,,,,,,,,,,,,,,34.5,,,
1951 Q4,,,,,,,,,,,,,,33.4,,,
1952 Q1,,,,,,,,,,,,,,32.6,,,
1952 Q2,,,,,,,,,,,,,,31.9,,,
1952 Q3,,,,,,,,,,,,,,31.7,,,
1952 Q4,,,,,,,,,,,,,,33,,,
1953 Q1,,,,,,,,,,,,,,33.6,,,
1953 Q2,,,,,,,,,,,,,,33.9,,,
1953 Q3,,,,,,,,,,,,,,34.1,,,
1953 Q4,,,,,,,,,,,,,,35.7,,,
1954 Q1,,,,,,,,,,,,,,35.3,,,
1954 Q2,,,,,,,,,,,,,,35.8,,,
1954 Q3,,,,,,,,,,,,,,36.2,,,
1954 Q4,,,,,,,,,,,,,,36.9,,,
1955 Q1,,,,,,,50901,,,76454,,,,37.6,,,
1955 Q2,,,,,,,50946,,,78007,,,,37.7,,,
1955 Q3,,,,,,,51005,,,79290,,,,37.9,,,
1955 Q4,,,,,,,51065,,,77930,,,,38.8,,,
1956 Q1,,,,,,,51124,,,79940,,,,38.3,,,
1956 Q2,,,,,,,51184,,,79223,,,,38.2,,,
1956 Q3,,,,,,,51245,,,80256,,,,37.9,,,
1956 Q4,,,,,,,51307,,,79720,,,,37.9,,,
1957 Q1,,,,,,,51369,,,80588,,,,38.6,,,
1957 Q2,,,,,,,51430,,,81177,,,,38.8,,,
1957 Q3,,,,,,,51486,,,81265,,,,39.5,,,
1957 Q4,,,,,,,51541,,,81331,,,,38.8,,,
1958 Q1,,,,,,,51597,,,82629,,,,39,,,
1958 Q2,,,,,,,51653,,,82264,,,,38.4,,,
1958 Q3,,,,,,,51728,,,82864,,,,38.2,,,
1958 Q4,,,,,,,51804,,,82976,,,,38.8,,,
1959 Q1,,,,,,,51880,,,84442,,,,39,,,
1959 Q2,,,,,,,51956,,,87217,,,,40,,,
1959 Q3,,,,,,,52060,,,87814,,,,40.4,,,
1959 Q4,,,,,,,52164,,,88652,,,,42.5,,,
1960 Q1,,,,,,,52268,,,90622,,,,43.2,,,
1960 Q2,,,,,,,52373,,,92316,,,,43.2,,,
1960 Q3,,,,,,,52481,,,93710,,,,43.4,,,
1960 Q4,,,,,,,52590,,,94624,,,,43.8,,,
1961 Q1,,,,,,,52699,,,95638,,,,43.2,,,
1961 Q2,,,,,,,52807,,,97191,,,,43.9,,,
1961 Q3,,,,,,,52929,,,97220,,,,43.7,,,
1961 Q4,,,,,,,53050,,,96663,,,,43.4,,,
1962 Q1,,,,,,,53171,,,96750,,,,43.4,,,
1962 Q2,,,,,,,53292,,,96750,,,,44.1,,,
1962 Q3,,,,,,,53375,,,98171,,,,44.4,,,
1962 Q4,,,,,,,53458,,,99769,,,,43.9,,,
1963 Q1,5.6,,,,,,53542,,,99089,,,,43.5,,,
1963 Q2,3.8,,,,,,53625,,,100182,,,,44.9,,,
1963 Q3,6.3,,,,,,53716,,,103670,,,,46.2,,,
1963 Q4,6.7,,,,,,53808,,,103897,,,,47.1,,,
1964 Q1,6.5,,,,,,53899,,,105039,,,,48.6,,,
1964 Q2,6.6,,,,,,53991,,,105605,,,,48.5,,,
1964 Q3,7.1,,,,,,54080,,,106622,,,,49,,,
1964 Q4,6.4,,,,,,54170,,,107467,,,,50.4,,,
1965 Q1,6.5,,,,,,54260,,,107140,,,,50.4,,,
1965 Q2,6.7,,,,,,54350,,,107249,,,,50.4,,,
1965 Q3,7.3,,,,,,54423,,,109169,,,,50.4,,,
1965 Q4,7.7,,,,,,54496,,,109651,,,,51.1,,,
1966 Q1,9.9,,,,,,54569,,,114141,,,,51.6,,,
1966 Q2,5.5,,,,,,54643,,,109647,,,,51.6,,,
1966 Q3,6.5,,,,,,54722,,,109124,,,,51.7,,,
1966 Q4,7.3,,,,,,54801,,,109688,,,,50.4,,,
1967 Q1,6.2,,,,,,54880,,,109511,,,,51.1,,,
1967 Q2,7.1,,,,,,54959,,,111734,,,,51.6,,,
1967 Q3,7.5,,,,,,55023,,,114462,,,,51.5,,,
1967 Q4,5.8,,,,,,55086,,,113124,,,,52.7,,,
1968 Q1,4.8,,,,,,55150,,,115018,,,,54.6,,,
1968 Q2,8.5,,,,,,55214,,,115187,,,,55.4,,,
1968 Q3,5.3,,,,,,55275,,,113170,,,,55.9,,,
1968 Q4,5.1,,,,,,55337,,,113135,,,,56,,,
1969 Q1,6.4,,,,,,55399,,,114557,,,,56.8,,,
1969 Q2,6.6,,,,,,55461,,,115693,,,,57.9,,,
1969 Q3,5.9,,,,,,55504,,,115264,,,,57.4,,,
1969 Q4,5.3,,,,,,55546,,,115365,,,,57.2,,,
1970 Q1,5.6,,,,,,55589,,,115907,,,,57.4,,,
1970 Q2,8,,,,,,55632,,,120727,,,,57.5,,,
1970 Q3,7,,,,,,55706,,,121068,,,,57.7,,,
1970 Q4,7.1,,,,,,55780,,,120388,,,,57.9,,,
1971 Q1,4.8,3.8,,,,,55854,,,117561,,,,57.4,,,
1971 Q2,6.2,4.1,,,,,55928,,,121528,,,,57.5,,,
1971 Q3,5.4,4.2,,,,,55970,,,122398,,,,57.3,,,
1971 Q4,5.5,4.4,,,,,56012,,,123684,,,,57.2,,,
1972 Q1,6.2,4.5,,,,,56055,,,126258,,,,54.4,,,
1972 Q2,10,4.4,,,,,56097,,,134287,,,,58.6,,,
1972 Q3,7.4,4.3,,,,,56128,,,132271,,,,59.1,,,
1972 Q4,7.8,4.2,,,,,56160,,,134206,,,,61.2,,,
1973 Q1,6.5,3.9,,,,,56191,,,137363,,,,63.4,,,
1973 Q2,9.1,3.7,,,,,56223,,,140152,,,,63.5,,,
1973 Q3,8.9,3.6,,,,,56226,,,141286,,,,63.9,,,
1973 Q4,10.1,3.4,,,,,56229,,,141617,,,,63.6,,,
1974 Q1,9.4,3.6,,,,,56232,,,137691,,,,59.1,,,
1974 Q2,7.4,3.6,,,,,56236,,,136111,,,,64.3,,,
1974 Q3,9.4,3.7,,,,,56233,,,141095,,,,64.2,,,
1974 Q4,9.5,3.7,,,,,56231,,,140771,,,,61.8,,,
1975 Q1,11,4,,,,,56228,,,143397,,,,60.9,,,
1975 Q2,8.3,4.3,,,,,56226,,,138847,,,,58.5,,,
1975 Q3,10.2,4.7,,,,,56223,,,140319,,,,57.6,,,
1975 Q4,9.4,5,,,,,56221,,,137808,,,,58.7,,,
1976 Q1,10.3,5.3,,,,,56219,,,139742,,,,59.5,,,
1976 Q2,8.9,5.4,,,,,56216,,,138168,,,,60.6,,,
1976 Q3,11.1,5.5,,,,,56210,,,142668,,,,60.5,,,
1976 Q4,8.3,5.5,,,,,56203,,,139028,,,,62.9,,,
1977 Q1,8.1,5.5,,,,,56196,,,135347,,,,64.5,,,
1977 Q2,7.6,5.5,,,,,56190,,,134379,,,,64.1,,,
1977 Q3,8.5,5.7,,,,,56187,,,137012,,,,63.6,,,
1977 Q4,10.4,5.7,,,,,56184,,,142669,,,,63.8,,,
1978 Q1,8.2,5.6,,,,,56181,,,142512,,,,64.2,,,
1978 Q2,10.9,5.6,,,,,56178,,,146514,,,,66.1,,,
1978 Q3,10.9,5.5,,,,,56194,,,150300,,,,66.6,,,
1978 Q4,11.9,5.4,,,,,56209,,,150197,,,,66.5,,,
1979 Q1,12.2,5.4,,,,,56225,,,152401,,,,66.7,,,
1979 Q2,8.6,5.3,,,,,56240,,,155089,,,,69.9,,,
1979 Q3,12.2,5.4,,,,,56263,,,155140,,,,68.5,,,
1979 Q4,15,5.5,,,,,56285,,,162173,,,,68.5,,,
1980 Q1,11.2,5.8,,,,,56307,,,157780,,,,67.4,,,
1980 Q2,13.9,6.3,,,,,56330,,,158083,,,,64.8,,,
1980 Q3,14.5,7.1,,,,,56337,,,160445,,,,62.4,,,
1980 Q4,15,8,,,,,56344,,,158931,,,,61,,,
1981 Q1,14.7,8.9,,,,,56351,,,160486,,,,61,,,
1981 Q2,13.8,9.6,,,,,56358,,,158130,,,,61.3,,,
1981 Q3,13.3,9.9,,,,,56341,,,157598,,,,62.2,,,
1981 Q4,13.7,10.2,,,,,56324,,,158580,,,,62.9,,,
1982 Q1,13.7,10.4,,,,,56307,,,157715,,,,62.4,,,
1982 Q2,14.4,10.6,,,,,56291,,,160483,,,,63.5,,,
1982 Q3,12.7,10.8,,,,,56297,,,159367,,,,63.5,,,
1982 Q4,11.9,11.1,,,,,56303,,,159886,,,,62.9,,,
1983 Q1,11,11.3,,,,,56309,,,158854,,,,64.3,,,
1983 Q2,13.1,11.4,,,,,56316,,,165111,,,,64.9,,,
1983 Q3,10.8,11.5,,,,,56339,,,163522,,,,65.7,,,
1983 Q4,11.9,11.7,,,,,56363,,,164202,,,,66.6,,,
1984 Q1,12.8,11.8,,,,,56386,,,167088,,,,67.1,,,
1984 Q2,11.2,11.9,,,,,56409,,,165111,,,,64.9,,,
1984 Q3,14,11.7,,,,,56445,,,169770,,,,64.4,,,
1984 Q4,14.6,11.6,,,,,56482,,,173527,,,,65.2,,,
1985 Q1,13.2,11.5,,,,,56518,,,175208,,,,67.5,,,
1985 Q2,13.6,11.4,,,,,56554,,,175613,,,,70.1,,,
1985 Q3,12.1,11.3,,,,,56586,,,175957,,,,69.4,,,
1985 Q4,11.9,11.3,,,,,56619,,,177164,,,,69,,,
1986 Q1,11.1,11.3,,,,,56651,,,179729,,,,69.4,,,
1986 Q2,13.4,11.3,,,,,56684,,,186661,,,,70.5,,,
1986 Q3,11.4,11.4,,,,,56714,,,183119,,,,70.7,,,
1986 Q4,11.4,11.3,,,,,56744,,,183388,,,,72,,,
1987 Q1,10,11.1,,230854,930564,253223,56774,159319,677341,180901,,,,72.2,,,
1987 Q2,10.4,10.7,,238792,977287,263050,56804,166402,714237,185020,,,,72.9,,,
1987 Q3,9.5,10.2,,242524,1013671,274219,56832,174649,739452,187551,,,,74.2,,,
1987 Q4,8,9.7,,249112,957010,284919,56860,182811,672091,188860,,,,74.8,,,
1988 Q1,8.3,9.2,48.6,258704,977560,294618,56888,190926,682942,191709,,,,75.8,,,
1988 Q2,8.4,8.7,49.5,269337,999917,309309,56916,201283,690608,194935,,,,76.3,,,
1988 Q3,7.4,8.4,49.9,280785,1033151,325668,56956,213749,707483,197179,,,,78,,,
1988 Q4,7.2,8,50.5,287756,1049025,337587,56996,222789,711438,198740,,,,78.3,,,
1989 Q1,8,7.6,51,298161,1101623,348294,57036,230205,753329,201265,,,,78.4,,,
1989 Q2,8.4,7.2,52.1,308534,1143253,360489,57077,238817,782764,204179,,,,78.4,,,
1989 Q3,10.7,7.1,52.5,318137,1185541,373104,57117,247869,812437,209872,,,,78.8,,,
1989 Q4,9.4,7,53.3,327123,1204989,384317,57157,256672,820672,207949,,,,79.1,,,
1990 Q1,10.8,6.9,53.9,334911,1263826,395179,57197,264387,868647,213872,,,,78.4,,,
1990 Q2,9.4,6.9,55.6,346577,1291363,411581,57238,276540,879782,211391,,,,79.6,,,
1990 Q3,10.6,7.1,56.4,354087,1264847,423384,57288,285351,841463,213462,,,,78.2,,,
1990 Q4,11.9,7.5,57.5,360141,1296100,433944,57338,293409,862156,216821,,,,77.5,,,
1991 Q1,12.7,8,57.7,370414,1370730,441991,57388,299879,928739,218128,,,,76.6,,,
1991 Q2,11.7,8.7,60.3,380076,1404001,454543,57439,307094,949458,214176,,,,75.7,,,
1991 Q3,13.9,9.2,60.8,384397,1453967,462816,57475,314285,991151,220568,,,,75.1,,,
1991 Q4,13.7,9.5,61.5,384690,1458909,467880,57512,319657,991029,220151,,,,75.8,,,
1992 Q1,14.5,9.7,61.7,393508,1506578,471057,57548,324087,1035521,221591,,,,75.8,,,
1992 Q2,14.2,9.8,62.8,399655,1557945,476779,57585,329236,1081166,223785,,,,75.5,,,
1992 Q3,14.5,9.9,62.7,404896,1591107,485804,57617,335592,1105303,225633,,,,76.3,,,
1992 Q4,14.3,10.4,63.1,408308,1658764,489344,57649,338205,1169420,225562,,,,76.7,,,
1993 Q1,13.2,10.6,63.2,412728,1745915,494014,57682,342820,1251901,224008,,,,76.9,,,
1993 Q2,15,10.4,64.4,417516,1834516,496688,57714,347773,1337828,230278,,,,77.1,,,
1993 Q3,14.3,10.2,64.5,420371,1907454,503284,57751,352348,1404170,232470,,,,77.9,,,
1993 Q4,14.1,10.3,64.7,422088,1985318,510524,57788,356490,1474794,233411,,,,78.9,,,
1994 Q1,12.3,9.9,64.7,430054,1941698,515249,57825,360682,1426449,232541,,,,80.1,,,
1994 Q2,11.9,9.7,65.7,431513,1899487,518939,57862,365443,1380548,232173,,,,81.8,,,
1994 Q3,12.9,9.4,65.6,435096,1878130,523739,57903,370576,1354391,236870,,,,82.4,,,
1994 Q4,11.8,9,65.8,436539,1867905,529489,57943,375056,1338416,235558,,,,83.4,,,
1995 Q1,13.7,8.9,66.3,447129,1951975,536048,57984,378557,1415927,239669,,,,82.6,,,
1995 Q2,13.3,8.7,67.3,454528,2038022,543034,58025,382709,1494988,239943,,,,83.3,,,
1995 Q3,13.7,8.6,67.4,463186,2100547,551434,58060,387444,1549113,242123,,,,83.6,,,
1995 Q4,12.9,8.3,67.7,468451,2152364,557935,58095,389694,1594429,243427,,,,84,,,
1996 Q1,13.3,8.2,68.1,480818,2216246,561470,58130,392562,1654776,247598,57.7,,,84.5,,,
